date,year,month,week_num,day_of_year,temp_0m,temp_5m,temp_sum_0m,temp_sum_5m,sal_0m,do_0m,chl_0m,sal_5m,do_5m,chl_5m,precip_mm_day,precip_sum_july,is_interpolated
2023/2/16,2023,2,7,47,10.7,10.7,4.76,4.9,33.19,8.15,1.03,33.2,8.15,1.11,25,307.5,0
2023/2/21,2023,2,8,52,10.8,10.9,10.5,10.85,33.18,8.11,0.77,33.18,8.29,0.91,32.5,307.5,0
2023/3/2,2023,3,9,61,11,11.1,17.5,18.34,33.3,9.09,1.07,33.31,9.12,1.36,6,307.5,0
2023/3/7,2023,3,10,66,11.3,11.3,26.39,27.3,33.29,8.6,0.56,33.31,8.54,0.78,5,307.5,0
2023/3/14,2023,3,11,73,11.8,11.8,38.71,39.62,33.41,8.49,0.66,33.4,8.44,0.9,20,307.5,0
2023/3/23,2023,3,12,82,12.6,12.5,56.91,56.77,33.06,8.21,0.72,33.27,8.3,0.81,22.5,307.5,0
2023/3/30,2023,3,13,89,12.9,12.9,76.86,76.79,33.16,8.41,0.6,33.18,8.39,0.71,17,307.5,0
2023/4/6,2023,4,14,96,13.6,13.4,102.27,100.24,33.28,8.25,0.5,33.28,8.05,0.66,37,307.5,0
2023/4/13,2023,4,15,103,14.1,13.8,130.62,126.56,,,,,,,54,307.5,1
2023/4/20,2023,4,16,110,14.5,14.2,161.91,155.68,32.2,7.84,0.75,33.02,7.94,0.82,48,307.5,0
2023/4/27,2023,4,17,117,14.3,14.4,192.08,186.48,28.89,7.95,0.4,33.08,7.56,0.45,65.5,307.5,0
2023/5/2,2023,5,18,122,15.1,15,227.64,221.55,32.17,7.82,0.38,32.83,7.76,0.57,61.5,307.5,0
2023/5/11,2023,5,19,131,16.6,15.8,273.63,262.15,31.5,7.81,0.45,32.68,7.67,0.65,173.5,307.5,0
2023/5/18,2023,5,20,138,18.5,17,333.2,311.43,32.5,7.74,0.6,32.84,7.47,0.35,17,307.5,0
